Accession;Gene Symbol;Description;Contaminant;Marked as;# Peptides;# PSMs;# Unique Peptides;# Protein Groups;Biological Process;Cellular Component;Molecular Function;Entrez Gene ID;Ensembl Gene ID;KEGG Pathways;WikiPathways;# Razor Peptides;Abundance Ratio: (LIF) / (Control);Abundance Ratio P-Value: (LIF) / (Control);Abundance Ratio Adj. P-Value: (LIF) / (Control);Abundances (Grouped): Control;Abundances (Grouped): LIF;Abundances (Grouped) CV [%]: Control;Abundances (Grouped) CV [%]: LIF;Modifications
Q61937;Npm1;Nucleophosmin OS=Mus musculus OX=10090 GN=Npm1 PE=1 SV=1;FALSE;Mouse;11;186;11;1;"cell growth;cell organization and biogenesis;cellular homeostasis;metabolic process;regulation of biological process;response to stimulus;transport";"cytoplasm;cytoskeleton;cytosol;membrane;nucleus";"DNA binding;enzyme regulator activity;nucleotide binding;protein binding;RNA binding";18148;ENSMUSG00000057113.13;;mRNA processing;0;1.04;0.353942455;0.87501916;98.1;101.9;5.15;7.52;Phospho [S70(100)]
P58871;Tnks1bp1;182 kDa tankyrase-1-binding protein OS=Mus musculus OX=10090 GN=Tnks1bp1 PE=1 SV=2;FALSE;Mouse;43;101;43;1;"metabolic process;regulation of biological process;response to stimulus";"chromosome;cytoplasm;cytoskeleton;nucleus";protein binding;228140;ENSMUSG00000033955.12;;;0;1.095;0.122605971;0.858136371;95.5;104.5;6.45;4.74;"Phospho [S692(100); S1657(100)]"
B2RY56;Rbm25;RNA-binding protein 25 OS=Mus musculus OX=10090 GN=Rbm25 PE=1 SV=2;FALSE;Mouse;17;37;17;1;"cell death;metabolic process;regulation of biological process";"cytoplasm;nucleus;spliceosomal complex";RNA binding;67039;ENSMUSG00000010608.15;Spliceosome;mRNA processing;0;0.997;0.48453809;0.890336285;100.2;99.8;1.43;3.7;Phospho [S672(98.5)]
Q80YS6;Afap1;Actin filament-associated protein 1 OS=Mus musculus OX=10090 GN=Afap1 PE=1 SV=1;FALSE;Mouse;7;17;7;1;regulation of biological process;"cytoplasm;cytoskeleton;cytosol";protein binding;70292;ENSMUSG00000029094.12;;;0;1.04;0.57129722;0.907763902;98;102;9.34;6.55;Phospho [S669(100)]
P28867;Prkcd;Protein kinase C delta type OS=Mus musculus OX=10090 GN=Prkcd PE=1 SV=3;FALSE;Mouse;8;13;8;1;"cell death;cell organization and biogenesis;cell proliferation;cellular component movement;defense response;metabolic process;regulation of biological process;response to stimulus;transport";"cytoplasm;cytosol;endoplasmic reticulum;membrane;mitochondrion;nucleus";"catalytic activity;enzyme regulator activity;metal ion binding;nucleotide binding;protein binding";18753;ENSMUSG00000021948.15;"AGE-RAGE signaling pathway in diabetic complications; Type II diabetes mellitus; NOD-like receptor signaling pathway; Chemokine signaling pathway; Insulin resistance; Fc gamma R-mediated phagocytosis; Neurotrophin signaling pathway; Vascular smooth muscle contraction; GnRH signaling pathway; Tight junction; Estrogen signaling pathway; Inflammatory mediator regulation of TRP channels";"Wnt Signaling Pathway and Pluripotency; MAPK signaling pathway; Wnt Signaling Pathway; Myometrial Relaxation and Contraction Pathways; IL-5 Signaling Pathway; Type II interferon signaling (IFNG); Calcium Regulation in the Cardiac Cell; Alpha6-Beta4 Integrin Signaling Pathway; IL-6 signaling Pathway; G Protein Signaling Pathways; Insulin Signaling; Chemokine signaling pathway";0;1.103;0.267041224;0.862578915;95.1;104.9;6.21;5.11;Phospho [S662(100)]
Q52KI8;Srrm1;Serine/arginine repetitive matrix protein 1 OS=Mus musculus OX=10090 GN=Srrm1 PE=1 SV=2;FALSE;Mouse;7;27;7;1;metabolic process;"nucleus;spliceosomal complex";"DNA binding;RNA binding";51796;;"mRNA surveillance pathway; RNA transport";mRNA processing;0;1.139;0.016606772;0.858136371;93.5;106.5;4.73;1.92;Phospho [S635(100)]
Q5XJE5;Leo1;RNA polymerase-associated protein LEO1 OS=Mus musculus OX=10090 GN=Leo1 PE=1 SV=2;FALSE;Mouse;7;13;7;1;"cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus";nucleus;"catalytic activity;DNA binding;protein binding";235497;ENSMUSG00000042487.6;;PluriNetWork;0;1.172;0.066273063;0.858136371;92.1;107.9;8.3;3.13;Phospho [S631(100)]
Q5F2E7;Nufip2;Nuclear fragile X mental retardation-interacting protein 2 OS=Mus musculus OX=10090 GN=Nufip2 PE=1 SV=1;FALSE;Mouse;15;44;15;1;;"cytoplasm;cytosol;membrane;nucleus;ribosome";RNA binding;68564;ENSMUSG00000037857.16;;;0;1.181;0.014072139;0.858136371;91.7;108.3;4.88;2.21;Phospho [S626(98.7)]
Q61687;Atrx;Transcriptional regulator ATRX OS=Mus musculus OX=10090 GN=Atrx PE=1 SV=3;FALSE;Mouse;22;35;22;1;"cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus";"chromosome;cytoplasm;nucleus";"catalytic activity;DNA binding;metal ion binding;nucleotide binding;protein binding";22589;ENSMUSG00000031229.16;;PluriNetWork;0;0.994;0.750402907;0.943564924;100.3;99.7;5.79;6.03;Phospho [S626(100)]
Q6P5H2;Nes;Nestin OS=Mus musculus OX=10090 GN=Nes PE=1 SV=1;FALSE;Mouse;73;500;71;1;"cell organization and biogenesis;cell proliferation;development;regulation of biological process";"cytoplasm;cytoskeleton";"protein binding;structural molecule activity";18008;ENSMUSG00000004891.16;;;2;1.051;0.231485273;0.858136371;97.5;102.5;2.27;5.8;"Phospho [S623(100); S963(100); S1837(100)]"
Q60949;Tbc1d1;TBC1 domain family member 1 OS=Mus musculus OX=10090 GN=Tbc1d1 PE=1 SV=3;FALSE;Mouse;5;8;5;1;"regulation of biological process;transport";"cytosol;nucleus";"enzyme regulator activity;protein binding";57915;ENSMUSG00000029174.18;AMPK signaling pathway;Focal Adhesion-PI3K-Akt-mTOR-signaling pathway;0;0.952;0.639556134;0.925006424;102.5;97.5;9.01;5.81;Phospho [S621(100)]
Q6A0A2;Larp4b;La-related protein 4B OS=Mus musculus OX=10090 GN=Larp4b PE=1 SV=2;FALSE;Mouse;14;28;14;1;regulation of biological process;"cytoplasm;cytosol;membrane;ribosome";RNA binding;217980;ENSMUSG00000033499.13;;;0;1.019;0.363497235;0.87501916;99;101;9.43;2.79;Phospho [S601(99.1)]
Q9EST3;Eif4enif1;Eukaryotic translation initiation factor 4E transporter OS=Mus musculus OX=10090 GN=Eif4enif1 PE=1 SV=2;FALSE;Mouse;11;16;11;1;"regulation of biological process;transport";"cytoplasm;cytosol;membrane;nucleus";"protein binding;RNA binding";74203;ENSMUSG00000020454.17;;;0;1.077;0.036380749;0.858136371;96.3;103.7;3.62;4.55;"Phospho [S586(99.9); S949(98.9)]"
Q6PDH0;Phldb1;Pleckstrin homology-like domain family B member 1 OS=Mus musculus OX=10090 GN=Phldb1 PE=1 SV=1;FALSE;Mouse;21;26;20;1;regulation of biological process;;protein binding;102693;ENSMUSG00000048537.16;;;0;0.976;0.623697504;0.919886072;101.2;98.8;7.49;3.82;Phospho [S580(98.8)]
P35564;Canx;Calnexin OS=Mus musculus OX=10090 GN=Canx PE=1 SV=1;FALSE;Mouse;28;177;28;1;"metabolic process;transport";"cytoplasm;endoplasmic reticulum;membrane;ribosome";"metal ion binding;protein binding;RNA binding";12330;ENSMUSG00000020368.15;"HTLV-I infection; Thyroid hormone synthesis; Phagosome; Antigen processing and presentation; Protein processing in endoplasmic reticulum";;0;0.939;0.269340719;0.862578915;103.2;96.8;11.97;2.81;"Phospho [S563(99.3); S582(100)]"
E9Q5C9;Nolc1;Nucleolar and coiled-body phosphoprotein 1 OS=Mus musculus OX=10090 GN=Nolc1 PE=1 SV=1;FALSE;Mouse;16;89;16;1;"cell organization and biogenesis;regulation of biological process";"cytoplasm;nucleus";"protein binding;RNA binding";70769;ENSMUSG00000015176.9;;;0;1.236;0.016285278;0.858136371;89.4;110.6;0.76;4.37;Phospho [S563(100)]
Q02248;Ctnnb1;Catenin beta-1 OS=Mus musculus OX=10090 GN=Ctnnb1 PE=1 SV=1;FALSE;Mouse;19;71;17;1;"cell communication;cell differentiation;cell growth;cell organization and biogenesis;cell proliferation;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport";"cytoplasm;cytoskeleton;cytosol;membrane;nucleus";"DNA binding;protein binding;signal transducer activity";12387;ENSMUSG00000006932.17;"Leukocyte transendothelial migration; Wnt signaling pathway; Arrhythmogenic right ventricular cardiomyopathy (ARVC); Focal adhesion; Endometrial cancer; Basal cell carcinoma; Hippo signaling pathway; Breast cancer; Signaling pathways regulating pluripotency of stem cells; Melanogenesis; HTLV-I infection; Adherens junction; Proteoglycans in cancer; Thyroid hormone signaling pathway; Rap1 signaling pathway; Pathways in cancer; Thyroid cancer; Tight junction; Colorectal cancer; Prostate cancer; Bacterial invasion of epithelial cells";"Wnt Signaling in Kidney Disease; Heart Development; PluriNetWork; Wnt Signaling Pathway and Pluripotency; Id Signaling Pathway; Wnt Signaling Pathway; IL-5 Signaling Pathway; Primary Focal Segmental Glomerulosclerosis FSGS; Ptf1a related regulatory pathway; MicroRNAs in Cardiomyocyte Hypertrophy; Wnt Signaling Pathway NetPath; Adipogenesis genes; ESC Pluripotency Pathways; TGF Beta Signaling Pathway";2;1.003;0.534795663;0.89860822;99.9;100.1;2.4;6.69;Phospho [S552(90.2)]
Q8BVA4;Lmod1;Leiomodin-1 OS=Mus musculus OX=10090 GN=Lmod1 PE=1 SV=1;FALSE;Mouse;10;21;10;1;"cell organization and biogenesis;regulation of biological process";"cytoplasm;cytoskeleton;cytosol";protein binding;93689;;;;0;1.066;0.41375937;0.882388679;96.8;103.2;11.8;2.76;Phospho [S550(100)]
Q8CC35;Synpo;Synaptopodin OS=Mus musculus OX=10090 GN=Synpo PE=1 SV=2;FALSE;Mouse;12;35;12;1;"cell organization and biogenesis;regulation of biological process;response to stimulus";"cytoplasm;cytoskeleton;membrane;nucleus";protein binding;104027;ENSMUSG00000043079.17;;Primary Focal Segmental Glomerulosclerosis FSGS;0;1.095;0.231749134;0.858136371;95.5;104.5;12.79;3.84;Phospho [S535(100)]
Q3UHH1;"2310021P13Rik; Zswim8";Zinc finger SWIM domain-containing protein 8 OS=Mus musculus OX=10090 GN=Zswim8 PE=1 SV=1;FALSE;Mouse;5;5;5;1;;cytosol;metal ion binding;268721;ENSMUSG00000021819.10;;;0;0.875;0.188412641;0.858136371;106.7;93.3;2.62;7.57;Phospho [S53(96)]
Q01341;Adcy6;Adenylate cyclase type 6 OS=Mus musculus OX=10090 GN=Adcy6 PE=1 SV=1;FALSE;Mouse;3;3;3;1;"cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus";"endosome;membrane";"catalytic activity;metal ion binding;nucleotide binding;protein binding";11512;;"Oxytocin signaling pathway; Morphine addiction; Cholinergic synapse; Phospholipase D signaling pathway; Retrograde endocannabinoid signaling; Pancreatic secretion; Progesterone-mediated oocyte maturation; GABAergic synapse; Regulation of lipolysis in adipocytes; Ovarian steroidogenesis; Chemokine signaling pathway; Endocrine and other factor-regulated calcium reabsorption; Platelet activation; Melanogenesis; Dilated cardiomyopathy; HTLV-I infection; Thyroid hormone synthesis; Purine metabolism; Oocyte meiosis; Longevity regulating pathway; Glutamatergic synapse; cGMP-PKG signaling pathway; Taste transduction; Rap1 signaling pathway; Pathways in cancer; Bile secretion; Salivary secretion; cAMP signaling pathway; Vascular smooth muscle contraction; Aldosterone synthesis and secretion; GnRH signaling pathway; Vasopressin-regulated water reabsorption; Gastric acid secretion; Renin secretion; Gap junction; Circadian entrainment; Insulin secretion; Estrogen signaling pathway; Adrenergic signaling in cardiomyocytes; Longevity regulating pathway - multiple species; Endocrine resistance; Inflammatory mediator regulation of TRP channels";"Chemokine signaling pathway; Calcium Regulation in the Cardiac Cell; G Protein Signaling Pathways; Purine metabolism; Myometrial Relaxation and Contraction Pathways";0;0.979;0.746538871;0.943564924;101.1;98.9;8.83;15.39;Phospho [S53(100)]
Q9D6Z1;Nop56;Nucleolar protein 56 OS=Mus musculus OX=10090 GN=Nop56 PE=1 SV=2;FALSE;Mouse;19;67;19;1;metabolic process;"cytoplasm;membrane;nucleus";"protein binding;RNA binding";67134;ENSMUSG00000027405.16;Ribosome biogenesis in eukaryotes;;0;0.904;0.166889996;0.858136371;105.1;94.9;8.4;2.46;"Phospho [S513(100); S536(100)]"
Q5FWK3;Arhgap1;Rho GTPase-activating protein 1 OS=Mus musculus OX=10090 GN=Arhgap1 PE=1 SV=1;FALSE;Mouse;13;45;13;1;"regulation of biological process;response to stimulus;transport";"cytoplasm;endosome;membrane";"enzyme regulator activity;protein binding";228359;ENSMUSG00000027247.16;;;0;0.87;0.031496768;0.858136371;107;93;4.61;2.13;Phospho [S51(86.3)]
Q9WV92;"Epb4.1l3; Epb41l3";Band 4.1-like protein 3 OS=Mus musculus OX=10090 GN=Epb41l3 PE=1 SV=1;FALSE;Mouse;31;91;29;1;"cell death;cell organization and biogenesis;regulation of biological process";"cytoplasm;cytoskeleton;membrane";"protein binding;structural molecule activity";13823;ENSMUSG00000024044.16;Tight junction;Splicing factor NOVA regulated synaptic proteins;0;0.979;0.273633837;0.862578915;101.1;98.9;2.4;1.91;Phospho [S486(99.3)]
P05213;Tuba1b;Tubulin alpha-1B chain OS=Mus musculus OX=10090 GN=Tuba1b PE=1 SV=2;FALSE;Mouse;20;502;1;1;"cell organization and biogenesis;response to stimulus";"cytoplasm;cytoskeleton;cytosol;membrane";"catalytic activity;nucleotide binding;protein binding;RNA binding;structural molecule activity";22143;ENSMUSG00000023004.8;"Phagosome; Gap junction; Apoptosis";;22;0.883;0.084184108;0.858136371;106.2;93.8;5.6;2.12;Phospho [S48(92.8)]
P68373;Tuba1c;Tubulin alpha-1C chain OS=Mus musculus OX=10090 GN=Tuba1c PE=1 SV=1;FALSE;Mouse;19;502;2;1;cell organization and biogenesis;"cytoplasm;cytoskeleton;membrane;nucleus";"catalytic activity;nucleotide binding;structural molecule activity";22146;ENSMUSG00000043091.8;"Phagosome; Gap junction; Apoptosis";;0;0.972;0.778486747;0.947919818;101.4;98.6;18.8;5.03;Phospho [S48(92.8)]
Q9D824;Fip1l1;Pre-mRNA 3'-end-processing factor FIP1 OS=Mus musculus OX=10090 GN=Fip1l1 PE=1 SV=1;FALSE;Mouse;9;27;9;1;metabolic process;nucleus;"protein binding;RNA binding";66899;ENSMUSG00000029227.15;mRNA surveillance pathway;;0;1.115;0.020684309;0.858136371;94.6;105.4;4.69;3.14;Phospho [S479(98.7)]
Q9JIX8;Acin1;Apoptotic chromatin condensation inducer in the nucleus OS=Mus musculus OX=10090 GN=Acin1 PE=1 SV=3;FALSE;Mouse;25;81;25;1;"cell death;cell differentiation;cell organization and biogenesis;metabolic process;regulation of biological process";"cytosol;membrane;nucleus";RNA binding;56215;ENSMUSG00000022185.18;"mRNA surveillance pathway; Spliceosome; RNA transport";mRNA processing;0;1.131;0.062994484;0.858136371;93.9;106.1;4.55;0.98;Phospho [S479(100)]
Q8K4G5;Ablim1;Actin-binding LIM protein 1 OS=Mus musculus OX=10090 GN=Ablim1 PE=1 SV=1;FALSE;Mouse;23;86;23;1;"cell organization and biogenesis;cellular component movement;regulation of biological process";"cytoplasm;cytoskeleton";"metal ion binding;protein binding";226251;;Axon guidance;;0;1.061;0.198117582;0.858136371;97;103;5.73;2.73;"Phospho [S475(99.9); S789(100)]"
P27546;"Map4; Mtap4";Microtubule-associated protein 4 OS=Mus musculus OX=10090 GN=Map4 PE=1 SV=3;FALSE;Mouse;43;334;43;1;"cell division;cell organization and biogenesis;cellular component movement;regulation of biological process";"cytoplasm;cytoskeleton";"protein binding;RNA binding";17758;ENSMUSG00000032479.15;;;0;1.088;0.178687199;0.858136371;95.8;104.2;9.16;1.83;"Phospho [S475(100); S506(100); S519(98.4); S617(96.5); S1046(100)]"
Q3UDK1;Trafd1;TRAF-type zinc finger domain-containing protein 1 OS=Mus musculus OX=10090 GN=Trafd1 PE=1 SV=1;FALSE;Mouse;2;3;2;1;"regulation of biological process;response to stimulus";;"metal ion binding;protein binding";231712;ENSMUSG00000042726.14;;;0;0.961;0.796156147;0.952465703;102;98;7.82;11.65;Phospho [S469(91.2)]
Q9DBR7;Ppp1r12a;Protein phosphatase 1 regulatory subunit 12A OS=Mus musculus OX=10090 GN=Ppp1r12a PE=1 SV=2;FALSE;Mouse;34;99;34;1;"cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus";"chromosome;cytoplasm;cytoskeleton;cytosol";"catalytic activity;enzyme regulator activity;protein binding";17931;ENSMUSG00000019907.10;"Oxytocin signaling pathway; Regulation of actin cytoskeleton; Focal adhesion; Platelet activation; Proteoglycans in cancer; cGMP-PKG signaling pathway; cAMP signaling pathway; Vascular smooth muscle contraction";"Focal Adhesion; Regulation of Actin Cytoskeleton";0;1.095;0.160279113;0.858136371;95.5;104.5;7.69;1.27;"Phospho [S445(90.9); S693(93.3)]"
O70326;Grem1;Gremlin-1 OS=Mus musculus OX=10090 GN=Grem1 PE=2 SV=1;FALSE;Mouse;2;14;2;1;"cell communication;cell death;cell organization and biogenesis;cellular component movement;regulation of biological process;response to stimulus";"cell surface;extracellular";"enzyme regulator activity;protein binding";23892;ENSMUSG00000074934.3;;Lung fibrosis;0;;;;;;;;"Phospho [S44(100); S77(88.9)]"
Q8R3Y8;Irf2bp1;Interferon regulatory factor 2-binding protein 1 OS=Mus musculus OX=10090 GN=Irf2bp1 PE=1 SV=2;FALSE;Mouse;4;8;4;1;"metabolic process;regulation of biological process";nucleus;"catalytic activity;metal ion binding;protein binding";272359;ENSMUSG00000044030.4;;;0;0.898;0.586663749;0.909893756;105.4;94.6;10.73;1.84;"Phospho [S436(100); S453(100)]"
P20152;Vim;Vimentin OS=Mus musculus OX=10090 GN=Vim PE=1 SV=3;FALSE;Mouse;47;1661;42;1;"cell differentiation;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus";"cytoplasm;cytoskeleton;cytosol;membrane";"protein binding;RNA binding;structural molecule activity";22352;ENSMUSG00000026728.9;"MicroRNAs in cancer; Epstein-Barr virus infection";"Spinal Cord Injury; Striated Muscle Contraction; Primary Focal Segmental Glomerulosclerosis FSGS; Alpha6-Beta4 Integrin Signaling Pathway";7;1.079;0.101937223;0.858136371;96.2;103.8;3.05;6.47;"Phospho [S430(99.9); S459(99.9)]"
Q9Z1D1;Eif3g;Eukaryotic translation initiation factor 3 subunit G OS=Mus musculus OX=10090 GN=Eif3g PE=1 SV=2;FALSE;Mouse;12;73;12;1;"cell organization and biogenesis;metabolic process;regulation of biological process";"cytoplasm;cytosol;nucleus";"protein binding;RNA binding";53356;ENSMUSG00000070319.6;RNA transport;"mRNA processing; Translation Factors";0;1.147;0.041992478;0.858136371;93.1;106.9;1.56;4.37;Phospho [S42(81.5)]
Q61624;Zfp148;Zinc finger protein 148 OS=Mus musculus OX=10090 GN=Znf148 PE=1 SV=2;FALSE;Mouse;7;11;7;1;"cell organization and biogenesis;metabolic process;regulation of biological process";"Golgi;nucleus";"DNA binding;metal ion binding";22661;ENSMUSG00000022811.16;;;0;1.013;0.681851066;0.930878699;99.3;100.7;9.98;4.5;Phospho [S412(99.8)]
P48678;Lmna;Prelamin-A/C OS=Mus musculus OX=10090 GN=Lmna PE=1 SV=2;FALSE;Mouse;49;916;48;1;"cell organization and biogenesis;regulation of biological process;response to stimulus;transport";"membrane;nucleus";"protein binding;structural molecule activity";16905;ENSMUSG00000028063.15;"Hypertrophic cardiomyopathy (HCM); Arrhythmogenic right ventricular cardiomyopathy (ARVC); Dilated cardiomyopathy; Apoptosis";"Adipogenesis genes; FAS pathway and Stress induction of HSP regulation";1;1.057;0.281618585;0.862578915;97.2;102.8;10.75;5.65;Phospho [S404(91.4)]
Q8CCX5;Krt222;Keratin-like protein KRT222 OS=Mus musculus OX=10090 GN=Krt222 PE=2 SV=1;FALSE;Mouse;1;1;1;1;;;structural molecule activity;268481;ENSMUSG00000035849.14;;;0;0.728;0.534221844;0.89860822;115.7;84.3;29.54;19.55;Phospho [S4(91.1)]
A2AG50;"Map7d2; Mtap7d2";MAP7 domain-containing protein 2 OS=Mus musculus OX=10090 GN=Map7d2 PE=1 SV=1;FALSE;Mouse;1;1;1;1;cell organization and biogenesis;cytoskeleton;structural molecule activity;78283;ENSMUSG00000041020.14;;;0;;;;;;;;"Phospho [S4; E36]"
Q8R1B4;Eif3c;Eukaryotic translation initiation factor 3 subunit C OS=Mus musculus OX=10090 GN=Eif3c PE=1 SV=1;FALSE;Mouse;24;92;24;1;"metabolic process;regulation of biological process";cytoplasm;"protein binding;RNA binding";56347;ENSMUSG00000030738.11;RNA transport;Translation Factors;0;0.952;0.276949598;0.862578915;102.5;97.5;11.79;0.78;Phospho [S39(100)]
Q80YR5;Safb2;Scaffold attachment factor B2 OS=Mus musculus OX=10090 GN=Safb2 PE=1 SV=2;FALSE;Mouse;19;35;14;1;"cell differentiation;metabolic process;regulation of biological process";"cytoplasm;nucleus";"DNA binding;protein binding;RNA binding";224902;ENSMUSG00000042625.16;;mRNA processing;6;1.041;0.462686031;0.88758234;98;102;4.01;4.24;Phospho [S387(99.6)]
P54227;Stmn1;Stathmin OS=Mus musculus OX=10090 GN=Stmn1 PE=1 SV=2;FALSE;Mouse;9;119;6;1;"cell differentiation;cell organization and biogenesis;development;regulation of biological process;response to stimulus";"cytoplasm;cytoskeleton;cytosol;membrane";protein binding;16765;ENSMUSG00000028832.11;"MAPK signaling pathway; MicroRNAs in cancer";MAPK signaling pathway;4;1.077;0.310904476;0.866856602;96.3;103.7;12.63;10.75;"Phospho [S38(100); S63(100)]"
